['4 of Clover (black)', '5 of Diamond (red)', '6 of Spade (black)', '4 of Diamond (red)', '10 of Diamond (red)', '2 of Clover (black)', 'Queen of Spade (black)']
['3 of Clover (black)', '8 of Clover (black)', '3 of Spade (black)', '7 of Diamond (red)', 'Jack of Spade (black)', '2 of Diamond (red)', '8 of Heart (red)']
['King of Clover (black)', 'King of Diamond (red)', '9 of Diamond (red)', 'Jack of Diamond (red)', 'King of Spade (black)', '3 of Diamond (red)', '8 of Diamond (red)']
['4 of Heart (red)', '4 of Clover (black)', '9 of Clover (black)', '6 of Diamond (red)', '9 of Heart (red)', '3 of Diamond (red)', '4 of Spade (black)']
['8 of Diamond (red)', '10 of Heart (red)', '10 of Spade (black)', 'Ace of Diamond (red)', '6 of Clover (black)', 'King of Diamond (red)', '5 of Spade (black)']
['7 of Clover (black)', 'Jack of Heart (red)', 'Queen of Diamond (red)', '8 of Spade (black)', '9 of Spade (black)', '10 of Diamond (red)', 'King of Heart (red)']
['Ace of Heart (red)', '3 of Diamond (red)', '5 of Clover (black)', '4 of Spade (black)', '8 of Heart (red)', 'Ace of Diamond (red)', '9 of Diamond (red)']
['5 of Clover (black)', '4 of Clover (black)', '2 of Heart (red)', 'King of Clover (black)', 'Queen of Spade (black)', '5 of Heart (red)', '4 of Diamond (red)']
['5 of Heart (red)', '5 of Spade (black)', 'Ace of Diamond (red)', '9 of Clover (black)', '3 of Spade (black)', '2 of Clover (black)', '2 of Diamond (red)']
['Queen of Diamond (red)', '7 of Clover (black)', 'Queen of Spade (black)', 'Queen of Heart (red)', 'Ace of Clover (black)', '6 of Spade (black)', '9 of Diamond (red)']
['Jack of Diamond (red)', 'Ace of Diamond (red)', '8 of Heart (red)', '3 of Heart (red)', 'Jack of Spade (black)', '4 of Clover (black)', '8 of Diamond (red)']
['10 of Diamond (red)', '8 of Diamond (red)', '2 of Spade (black)', '8 of Spade (black)', '10 of Clover (black)', 'King of Diamond (red)', '9 of Diamond (red)']
['9 of Heart (red)', '4 of Clover (black)', '6 of Spade (black)', '8 of Diamond (red)', 'Queen of Diamond (red)', '7 of Heart (red)', '5 of Clover (black)']
['5 of Heart (red)', '8 of Clover (black)', '8 of Heart (red)', '5 of Clover (black)', '10 of Spade (black)', '8 of Diamond (red)', '2 of Clover (black)']
['Jack of Diamond (red)', 'Jack of Spade (black)', 'King of Diamond (red)', 'King of Spade (black)', '10 of Heart (red)', '4 of Diamond (red)', '2 of Heart (red)']
['9 of Diamond (red)', 'Queen of Spade (black)', '10 of Heart (red)', 'Jack of Diamond (red)', 'Queen of Clover (black)', 'Queen of Diamond (red)', 'King of Spade (black)']
['8 of Diamond (red)', '3 of Clover (black)', '8 of Clover (black)', '3 of Spade (black)', '6 of Spade (black)', '3 of Heart (red)', '4 of Heart (red)']
['3 of Clover (black)', '3 of Diamond (red)', '6 of Clover (black)', '7 of Diamond (red)', '8 of Clover (black)', 'King of Clover (black)', 'Ace of Heart (red)']
['9 of Clover (black)', '3 of Clover (black)', '5 of Clover (black)', 'Queen of Clover (black)', '2 of Clover (black)', '10 of Diamond (red)', 'King of Heart (red)']
['5 of Diamond (red)', 'Jack of Diamond (red)', 'Jack of Clover (black)', '5 of Clover (black)', '7 of Diamond (red)', '10 of Heart (red)', '4 of Heart (red)']
['6 of Clover (black)', '7 of Spade (black)', '4 of Heart (red)', '9 of Spade (black)', '5 of Spade (black)', '3 of Spade (black)', '8 of Clover (black)']
['Queen of Diamond (red)', '7 of Clover (black)', '5 of Clover (black)', '10 of Clover (black)', '8 of Spade (black)', 'Jack of Clover (black)', '9 of Heart (red)']
['Ace of Spade (black)', 'Queen of Clover (black)', 'Queen of Heart (red)', '3 of Heart (red)', '7 of Diamond (red)', '6 of Spade (black)', 'Jack of Diamond (red)']
['Queen of Diamond (red)', 'Queen of Clover (black)', 'Jack of Heart (red)', 'Jack of Diamond (red)', '3 of Clover (black)', '2 of Heart (red)', '6 of Spade (black)']
['8 of Heart (red)', '5 of Clover (black)', 'Queen of Clover (black)', '4 of Spade (black)', '5 of Heart (red)', '8 of Spade (black)', '10 of Heart (red)']
['Queen of Spade (black)', '8 of Spade (black)', 'Queen of Clover (black)', 'Ace of Clover (black)', '3 of Diamond (red)', '6 of Diamond (red)', '6 of Heart (red)']
['Jack of Clover (black)', '2 of Clover (black)', 'Jack of Heart (red)', '6 of Heart (red)', '9 of Diamond (red)', '8 of Heart (red)', 'Jack of Diamond (red)']
['9 of Clover (black)', 'Jack of Clover (black)', '7 of Diamond (red)', 'Jack of Spade (black)', '8 of Clover (black)', '7 of Clover (black)', '5 of Heart (red)']
['8 of Clover (black)', '6 of Spade (black)', 'Queen of Diamond (red)', '10 of Diamond (red)', '3 of Heart (red)', '8 of Spade (black)', 'Queen of Spade (black)']
['King of Heart (red)', 'King of Spade (black)', '3 of Clover (black)', 'Queen of Heart (red)', 'Jack of Diamond (red)', '10 of Heart (red)', '10 of Diamond (red)']
['9 of Spade (black)', 'Jack of Spade (black)', '3 of Heart (red)', 'Jack of Clover (black)', '10 of Diamond (red)', 'Queen of Heart (red)', 'Jack of Heart (red)']
['King of Diamond (red)', 'Jack of Heart (red)', '9 of Heart (red)', '8 of Spade (black)', 'Queen of Heart (red)', 'King of Spade (black)', '5 of Diamond (red)']
['6 of Diamond (red)', 'Queen of Clover (black)', 'Jack of Diamond (red)', 'King of Clover (black)', '10 of Clover (black)', '9 of Spade (black)', '7 of Clover (black)']
['Jack of Heart (red)', 'Queen of Spade (black)', '4 of Clover (black)', '9 of Clover (black)', '4 of Heart (red)', '4 of Diamond (red)', 'Queen of Diamond (red)']
['10 of Clover (black)', '8 of Heart (red)', '2 of Heart (red)', '9 of Spade (black)', '8 of Clover (black)', '2 of Spade (black)', '5 of Clover (black)']
['King of Spade (black)', 'Jack of Clover (black)', '2 of Diamond (red)', '2 of Spade (black)', '6 of Heart (red)', '9 of Clover (black)', 'King of Clover (black)']
['King of Clover (black)', '10 of Spade (black)', '6 of Spade (black)', '10 of Heart (red)', '8 of Clover (black)', '9 of Diamond (red)', '2 of Spade (black)']
['Queen of Spade (black)', 'Queen of Diamond (red)', '9 of Diamond (red)', '6 of Clover (black)', '2 of Heart (red)', 'Queen of Clover (black)', '10 of Spade (black)']
['Ace of Heart (red)', '9 of Heart (red)', 'King of Clover (black)', '9 of Clover (black)', 'Jack of Diamond (red)', '5 of Clover (black)', '9 of Spade (black)']
['9 of Clover (black)', 'Ace of Diamond (red)', '10 of Heart (red)', '2 of Heart (red)', 'Ace of Clover (black)', 'Jack of Diamond (red)', '5 of Heart (red)']
['Jack of Clover (black)', '6 of Diamond (red)', '6 of Heart (red)', 'Jack of Diamond (red)', '5 of Diamond (red)', '7 of Clover (black)', '4 of Clover (black)']
['4 of Diamond (red)', '9 of Clover (black)', 'Queen of Heart (red)', '8 of Heart (red)', '5 of Heart (red)', '4 of Spade (black)', '4 of Clover (black)']
['6 of Diamond (red)', '10 of Spade (black)', '8 of Heart (red)', 'Queen of Heart (red)', '7 of Heart (red)', '10 of Diamond (red)', '3 of Spade (black)']
['2 of Diamond (red)', '2 of Heart (red)', '8 of Diamond (red)', '6 of Heart (red)', '5 of Diamond (red)', '2 of Clover (black)', '8 of Heart (red)']
['King of Heart (red)', '8 of Diamond (red)', '8 of Spade (black)', 'Ace of Heart (red)', 'King of Clover (black)', '5 of Diamond (red)', '4 of Heart (red)']
['King of Diamond (red)', 'Jack of Heart (red)', 'King of Heart (red)', '9 of Heart (red)', '4 of Diamond (red)', 'Jack of Spade (black)', '3 of Diamond (red)']
['King of Diamond (red)', 'Ace of Diamond (red)', '6 of Diamond (red)', '2 of Diamond (red)', '7 of Diamond (red)', 'Ace of Clover (black)', '7 of Spade (black)']
['Ace of Diamond (red)', '8 of Diamond (red)', '2 of Clover (black)', 'Queen of Clover (black)', 'Jack of Heart (red)', 'Ace of Spade (black)', '6 of Clover (black)']
['7 of Spade (black)', '8 of Heart (red)', '8 of Spade (black)', '3 of Clover (black)', 'King of Spade (black)', '8 of Diamond (red)', '2 of Diamond (red)']
['Jack of Clover (black)', '4 of Spade (black)', 'Ace of Heart (red)', '7 of Clover (black)', 'King of Heart (red)', '10 of Heart (red)', 'Queen of Diamond (red)']
['5 of Heart (red)', 'Jack of Heart (red)', 'King of Heart (red)', 'Queen of Heart (red)', '9 of Heart (red)', '2 of Clover (black)', '3 of Heart (red)']
['9 of Clover (black)', '5 of Clover (black)', '4 of Spade (black)', '8 of Diamond (red)', '6 of Spade (black)', '9 of Heart (red)', '8 of Spade (black)']
['Jack of Heart (red)', 'Ace of Spade (black)', '7 of Heart (red)', '6 of Diamond (red)', 'Ace of Clover (black)', 'Ace of Heart (red)', '6 of Heart (red)']
['3 of Spade (black)', '8 of Diamond (red)', 'Queen of Clover (black)', '9 of Heart (red)', 'Queen of Heart (red)', '3 of Clover (black)', '3 of Diamond (red)']
['Queen of Clover (black)', '4 of Clover (black)', '7 of Heart (red)', '10 of Spade (black)', 'King of Heart (red)', 'Queen of Heart (red)', '8 of Clover (black)']
['Jack of Diamond (red)', '10 of Diamond (red)', 'Queen of Spade (black)', '3 of Clover (black)', 'Jack of Clover (black)', '3 of Heart (red)', '9 of Diamond (red)']
['King of Clover (black)', 'Queen of Clover (black)', 'King of Spade (black)', '4 of Heart (red)', 'Jack of Diamond (red)', '9 of Heart (red)', '6 of Clover (black)']
['10 of Heart (red)', '4 of Clover (black)', '9 of Clover (black)', '5 of Diamond (red)', '4 of Spade (black)', '8 of Heart (red)', '10 of Spade (black)']
['2 of Diamond (red)', '7 of Diamond (red)', '2 of Heart (red)', '3 of Heart (red)', '7 of Spade (black)', '8 of Heart (red)', 'King of Spade (black)']
['5 of Diamond (red)', '7 of Clover (black)', '5 of Spade (black)', '9 of Spade (black)', '4 of Heart (red)', '4 of Diamond (red)', '5 of Heart (red)']
['King of Clover (black)', '8 of Spade (black)', 'King of Heart (red)', 'Jack of Heart (red)', '8 of Clover (black)', '9 of Spade (black)', 'King of Spade (black)']
['7 of Diamond (red)', 'Queen of Heart (red)', '4 of Clover (black)', 'Queen of Spade (black)', '2 of Clover (black)', 'King of Spade (black)', '4 of Spade (black)']
['7 of Spade (black)', '9 of Diamond (red)', '3 of Clover (black)', '2 of Heart (red)', 'King of Spade (black)', 'King of Clover (black)', '7 of Heart (red)']
['Ace of Diamond (red)', 'King of Heart (red)', '9 of Diamond (red)', 'Ace of Heart (red)', 'Ace of Spade (black)', '3 of Heart (red)', '5 of Clover (black)']
['6 of Diamond (red)', 'Ace of Spade (black)', '2 of Clover (black)', 'King of Clover (black)', '9 of Diamond (red)', '9 of Spade (black)', 'Ace of Heart (red)']
['Ace of Heart (red)', 'King of Heart (red)', 'Jack of Spade (black)', '6 of Diamond (red)', 'King of Diamond (red)', '9 of Heart (red)', '4 of Clover (black)']
['3 of Diamond (red)', '4 of Diamond (red)', 'Ace of Diamond (red)', '2 of Clover (black)', 'Queen of Clover (black)', '9 of Diamond (red)', 'Queen of Diamond (red)']
['6 of Clover (black)', 'King of Clover (black)', '10 of Spade (black)', 'King of Diamond (red)', '3 of Diamond (red)', '10 of Heart (red)', '10 of Clover (black)']
['3 of Diamond (red)', 'Queen of Diamond (red)', '4 of Diamond (red)', '3 of Heart (red)', '5 of Heart (red)', '7 of Clover (black)', '8 of Diamond (red)']
['8 of Heart (red)', 'Ace of Spade (black)', 'Ace of Clover (black)', '7 of Heart (red)', '8 of Diamond (red)', '2 of Heart (red)', '3 of Clover (black)']
['King of Diamond (red)', '3 of Clover (black)', '6 of Heart (red)', 'King of Clover (black)', 'Jack of Heart (red)', '10 of Diamond (red)', '2 of Clover (black)']
['10 of Diamond (red)', 'Queen of Diamond (red)', '7 of Clover (black)', '3 of Spade (black)', '6 of Heart (red)', '10 of Clover (black)', 'Jack of Clover (black)']
['King of Heart (red)', 'King of Diamond (red)', '5 of Heart (red)', '10 of Heart (red)', '9 of Heart (red)', '7 of Heart (red)', '7 of Diamond (red)']
['6 of Spade (black)', '9 of Clover (black)', '10 of Heart (red)', '5 of Heart (red)', '2 of Spade (black)', '5 of Clover (black)', '9 of Spade (black)']
['10 of Clover (black)', 'Jack of Heart (red)', '8 of Spade (black)', '3 of Clover (black)', 'King of Heart (red)', '7 of Heart (red)', '10 of Spade (black)']
['3 of Heart (red)', 'Ace of Diamond (red)', '7 of Diamond (red)', '9 of Clover (black)', '6 of Clover (black)', 'Ace of Spade (black)', '9 of Diamond (red)']
['10 of Heart (red)', '8 of Spade (black)', '3 of Spade (black)', '7 of Heart (red)', '3 of Clover (black)', '6 of Diamond (red)', '9 of Diamond (red)']
['9 of Diamond (red)', '8 of Spade (black)', '8 of Clover (black)', '10 of Diamond (red)', '2 of Diamond (red)', 'Queen of Diamond (red)', '9 of Spade (black)']
['4 of Heart (red)', 'Jack of Clover (black)', '4 of Clover (black)', 'King of Heart (red)', 'Jack of Spade (black)', '7 of Spade (black)', '10 of Heart (red)']
['3 of Spade (black)', '8 of Spade (black)', 'Jack of Heart (red)', '10 of Diamond (red)', 'Queen of Diamond (red)', '9 of Heart (red)', '3 of Diamond (red)']
['8 of Diamond (red)', '9 of Diamond (red)', '2 of Heart (red)', '7 of Spade (black)', '4 of Clover (black)', '9 of Spade (black)', 'Queen of Spade (black)']
['Queen of Clover (black)', 'Queen of Spade (black)', '8 of Heart (red)', 'Queen of Heart (red)', 'Ace of Diamond (red)', '4 of Spade (black)', '9 of Spade (black)']
['9 of Spade (black)', '2 of Spade (black)', '6 of Spade (black)', '5 of Clover (black)', 'Jack of Diamond (red)', '5 of Heart (red)', '9 of Clover (black)']
['3 of Clover (black)', 'Ace of Heart (red)', '6 of Heart (red)', '5 of Spade (black)', '2 of Spade (black)', '5 of Clover (black)', '3 of Diamond (red)']
['Queen of Heart (red)', '6 of Spade (black)', '5 of Diamond (red)', '2 of Heart (red)', '9 of Heart (red)', 'Queen of Diamond (red)', 'Jack of Clover (black)']
['Queen of Heart (red)', 'Ace of Clover (black)', '5 of Spade (black)', 'Jack of Clover (black)', '3 of Clover (black)', '2 of Heart (red)', 'Queen of Spade (black)']
['6 of Clover (black)', 'Queen of Spade (black)', 'Ace of Clover (black)', 'Queen of Clover (black)', '10 of Spade (black)', '4 of Diamond (red)', 'Ace of Heart (red)']
['Ace of Heart (red)', 'Queen of Spade (black)', '9 of Spade (black)', '8 of Clover (black)', '8 of Spade (black)', 'Queen of Clover (black)', '4 of Diamond (red)']
['4 of Diamond (red)', 'Ace of Diamond (red)', '8 of Spade (black)', '2 of Spade (black)', 'Ace of Heart (red)', 'King of Diamond (red)', '7 of Spade (black)']
['Ace of Heart (red)', '3 of Diamond (red)', 'King of Spade (black)', 'King of Clover (black)', '7 of Spade (black)', 'Queen of Spade (black)', '3 of Heart (red)']
['5 of Clover (black)', 'Jack of Diamond (red)', 'Ace of Diamond (red)', '3 of Diamond (red)', '6 of Heart (red)', '4 of Diamond (red)', '7 of Heart (red)']
['7 of Heart (red)', '10 of Diamond (red)', '10 of Spade (black)', '5 of Spade (black)', '3 of Heart (red)', '10 of Clover (black)', 'Jack of Heart (red)']
['King of Heart (red)', 'King of Diamond (red)', '5 of Clover (black)', '6 of Diamond (red)', 'Ace of Spade (black)', 'Ace of Clover (black)', '3 of Spade (black)']
['8 of Spade (black)', 'Jack of Diamond (red)', '8 of Heart (red)', 'Jack of Clover (black)', '9 of Diamond (red)', '5 of Diamond (red)', 'King of Diamond (red)']
['6 of Diamond (red)', '5 of Spade (black)', '2 of Spade (black)', '4 of Diamond (red)', '7 of Heart (red)', '3 of Clover (black)', '10 of Clover (black)']
['3 of Heart (red)', 'King of Clover (black)', 'King of Heart (red)', '5 of Spade (black)', '2 of Heart (red)', 'King of Spade (black)', 'Ace of Clover (black)']
['Ace of Clover (black)', 'Queen of Clover (black)', '8 of Diamond (red)', 'Ace of Spade (black)', 'Jack of Clover (black)', '9 of Clover (black)', '2 of Clover (black)']
['King of Clover (black)', '4 of Clover (black)', 'Ace of Clover (black)', '10 of Clover (black)', '6 of Clover (black)', 'King of Spade (black)', 'Jack of Diamond (red)']
['Jack of Diamond (red)', '8 of Spade (black)', '2 of Clover (black)', '2 of Diamond (red)', 'Ace of Heart (red)', 'Jack of Clover (black)', '6 of Clover (black)']
['6 of Diamond (red)', 'King of Heart (red)', '8 of Diamond (red)', '5 of Heart (red)', '7 of Heart (red)', 'Queen of Clover (black)', '9 of Spade (black)']
['3 of Heart (red)', '5 of Clover (black)', '10 of Heart (red)', 'Queen of Diamond (red)', '9 of Diamond (red)', 'Jack of Spade (black)', 'King of Heart (red)']
['10 of Spade (black)', 'Jack of Clover (black)', '7 of Diamond (red)', '9 of Spade (black)', '10 of Heart (red)', '6 of Spade (black)', '7 of Clover (black)']
['10 of Diamond (red)', '6 of Spade (black)', '4 of Clover (black)', 'Ace of Diamond (red)', '10 of Spade (black)', 'Ace of Clover (black)', '5 of Diamond (red)']
['Ace of Spade (black)', 'Queen of Heart (red)', 'Jack of Spade (black)', '2 of Diamond (red)', '2 of Heart (red)', 'Queen of Diamond (red)', '4 of Heart (red)']
['Ace of Diamond (red)', '10 of Diamond (red)', 'King of Diamond (red)', '2 of Heart (red)', '4 of Clover (black)', '7 of Clover (black)', 'Ace of Spade (black)']
['Ace of Clover (black)', '10 of Clover (black)', 'Queen of Heart (red)', '10 of Spade (black)', '5 of Spade (black)', '2 of Heart (red)', '3 of Clover (black)']
['King of Diamond (red)', '2 of Heart (red)', '10 of Diamond (red)', '4 of Clover (black)', 'King of Heart (red)', 'Queen of Spade (black)', '2 of Clover (black)']
['2 of Heart (red)', 'Queen of Heart (red)', '10 of Clover (black)', '2 of Spade (black)', 'Jack of Heart (red)', 'Ace of Heart (red)', '9 of Heart (red)']
['Jack of Spade (black)', '10 of Heart (red)', 'Queen of Heart (red)', 'Queen of Clover (black)', 'Jack of Heart (red)', '3 of Diamond (red)', 'King of Heart (red)']
['8 of Clover (black)', 'Ace of Diamond (red)', '2 of Clover (black)', 'King of Spade (black)', '4 of Diamond (red)', '4 of Heart (red)', '6 of Diamond (red)']
['King of Diamond (red)', '9 of Spade (black)', '4 of Spade (black)', 'Queen of Diamond (red)', '10 of Spade (black)', '6 of Clover (black)', '9 of Heart (red)']
['6 of Heart (red)', '9 of Heart (red)', '5 of Heart (red)', '8 of Heart (red)', 'King of Spade (black)', '4 of Heart (red)', 'Queen of Clover (black)']
['Queen of Heart (red)', '7 of Clover (black)', '5 of Heart (red)', 'Jack of Heart (red)', '7 of Heart (red)', '2 of Spade (black)', '6 of Clover (black)']
['Jack of Diamond (red)', '9 of Clover (black)', '9 of Heart (red)', 'Ace of Spade (black)', '8 of Clover (black)', 'Queen of Diamond (red)', '2 of Clover (black)']
['5 of Heart (red)', '7 of Heart (red)', '4 of Spade (black)', 'Ace of Heart (red)', 'Queen of Spade (black)', '8 of Spade (black)', '6 of Diamond (red)']
['Jack of Diamond (red)', '5 of Clover (black)', 'Jack of Heart (red)', 'King of Clover (black)', '4 of Clover (black)', '10 of Clover (black)', '3 of Clover (black)']
['10 of Spade (black)', '8 of Clover (black)', 'Ace of Spade (black)', 'Jack of Diamond (red)', '2 of Heart (red)', '9 of Diamond (red)', 'Queen of Heart (red)']
['2 of Spade (black)', '9 of Diamond (red)', '6 of Spade (black)', '9 of Clover (black)', '10 of Diamond (red)', 'King of Clover (black)', '8 of Diamond (red)']
['3 of Diamond (red)', 'Ace of Spade (black)', '8 of Diamond (red)', '5 of Spade (black)', 'Ace of Heart (red)', '6 of Spade (black)', '8 of Spade (black)']
['Jack of Diamond (red)', '4 of Diamond (red)', '9 of Heart (red)', '8 of Spade (black)', '10 of Clover (black)', '4 of Clover (black)', '7 of Diamond (red)']
['4 of Diamond (red)', '2 of Diamond (red)', '5 of Heart (red)', '2 of Heart (red)', '2 of Spade (black)', 'Ace of Spade (black)', 'King of Diamond (red)']
['Ace of Spade (black)', '10 of Clover (black)', '5 of Heart (red)', '8 of Spade (black)', '8 of Diamond (red)', 'Ace of Heart (red)', 'Queen of Heart (red)']
['8 of Clover (black)', '10 of Diamond (red)', '10 of Heart (red)', '9 of Clover (black)', '10 of Clover (black)', '3 of Clover (black)', '9 of Heart (red)']
['Jack of Heart (red)', '9 of Spade (black)', '6 of Heart (red)', 'Ace of Clover (black)', '9 of Diamond (red)', '4 of Heart (red)', '8 of Clover (black)']
['2 of Heart (red)', '5 of Heart (red)', '2 of Spade (black)', '10 of Heart (red)', '10 of Diamond (red)', '7 of Diamond (red)', '10 of Clover (black)']
['8 of Spade (black)', 'Queen of Diamond (red)', '6 of Spade (black)', 'King of Clover (black)', 'Jack of Diamond (red)', '10 of Diamond (red)', 'Ace of Clover (black)']
['King of Clover (black)', 'King of Diamond (red)', '4 of Clover (black)', 'Queen of Clover (black)', 'King of Heart (red)', 'Ace of Heart (red)', '5 of Diamond (red)']
['Ace of Clover (black)', '7 of Diamond (red)', '9 of Spade (black)', 'Queen of Spade (black)', '7 of Clover (black)', 'Ace of Heart (red)', '5 of Clover (black)']
['7 of Heart (red)', 'King of Diamond (red)', 'Queen of Spade (black)', 'King of Clover (black)', '5 of Heart (red)', '8 of Diamond (red)', '3 of Clover (black)']
['10 of Spade (black)', '7 of Clover (black)', '8 of Diamond (red)', 'Ace of Diamond (red)', '6 of Heart (red)', 'King of Spade (black)', '10 of Heart (red)']
['6 of Heart (red)', 'Ace of Clover (black)', 'King of Spade (black)', 'Jack of Clover (black)', '4 of Clover (black)', '6 of Clover (black)', '7 of Clover (black)']
['Queen of Diamond (red)', 'Queen of Clover (black)', '4 of Diamond (red)', '3 of Diamond (red)', '10 of Diamond (red)', '10 of Spade (black)', '10 of Clover (black)']
['King of Spade (black)', 'King of Clover (black)', '3 of Diamond (red)', 'Queen of Clover (black)', '7 of Heart (red)', 'Jack of Clover (black)', '6 of Spade (black)']
['Ace of Diamond (red)', '5 of Spade (black)', 'Ace of Clover (black)', '2 of Spade (black)', '4 of Clover (black)', '7 of Spade (black)', '6 of Clover (black)']
['Jack of Heart (red)', '8 of Diamond (red)', '8 of Spade (black)', '2 of Diamond (red)', '10 of Spade (black)', '4 of Clover (black)', 'Queen of Heart (red)']
['10 of Heart (red)', '8 of Diamond (red)', '9 of Clover (black)', 'Queen of Heart (red)', 'Jack of Heart (red)', 'Ace of Heart (red)', '5 of Diamond (red)']
['Queen of Heart (red)', 'Queen of Clover (black)', '4 of Spade (black)', '2 of Clover (black)', '7 of Spade (black)', 'Ace of Heart (red)', 'Ace of Spade (black)']
['2 of Heart (red)', '4 of Diamond (red)', 'King of Clover (black)', '3 of Clover (black)', 'Ace of Spade (black)', '4 of Heart (red)', '2 of Spade (black)']
['Ace of Spade (black)', 'King of Clover (black)', '7 of Heart (red)', '10 of Heart (red)', '5 of Clover (black)', 'King of Heart (red)', '7 of Clover (black)']
['Queen of Diamond (red)', '6 of Diamond (red)', '8 of Diamond (red)', 'King of Diamond (red)', '5 of Diamond (red)', '7 of Diamond (red)', 'King of Spade (black)']
['Ace of Heart (red)', '8 of Spade (black)', 'Jack of Spade (black)', '10 of Diamond (red)', '7 of Clover (black)', '7 of Diamond (red)', 'Ace of Diamond (red)']
['Jack of Clover (black)', '4 of Clover (black)', '3 of Clover (black)', '2 of Diamond (red)', '9 of Clover (black)', 'Jack of Spade (black)', '10 of Spade (black)']
['4 of Heart (red)', '3 of Spade (black)', '4 of Spade (black)', '5 of Diamond (red)', '9 of Clover (black)', '4 of Clover (black)', 'Queen of Clover (black)']
['10 of Clover (black)', '8 of Spade (black)', '3 of Clover (black)', '10 of Spade (black)', '8 of Clover (black)', '5 of Heart (red)', '4 of Spade (black)']
['2 of Spade (black)', 'Queen of Spade (black)', '8 of Spade (black)', '5 of Clover (black)', '7 of Heart (red)', '9 of Spade (black)', '5 of Spade (black)']
['8 of Spade (black)', '10 of Diamond (red)', '2 of Spade (black)', '10 of Clover (black)', 'Queen of Heart (red)', '4 of Diamond (red)', 'King of Clover (black)']
['5 of Clover (black)', 'Jack of Clover (black)', 'Queen of Heart (red)', 'Ace of Diamond (red)', 'Ace of Clover (black)', '3 of Heart (red)', 'Jack of Heart (red)']
['King of Diamond (red)', 'Queen of Heart (red)', 'Queen of Clover (black)', '7 of Clover (black)', '2 of Spade (black)', 'Queen of Diamond (red)', '3 of Clover (black)']
['Ace of Diamond (red)', '10 of Diamond (red)', '3 of Spade (black)', '7 of Spade (black)', '9 of Diamond (red)', '2 of Diamond (red)', '6 of Diamond (red)']
['Queen of Clover (black)', '5 of Diamond (red)', 'King of Clover (black)', '5 of Heart (red)', 'Queen of Spade (black)', 'Jack of Diamond (red)', '7 of Clover (black)']
['4 of Clover (black)', '5 of Spade (black)', '3 of Clover (black)', '4 of Spade (black)', '4 of Diamond (red)', 'Ace of Heart (red)', '10 of Spade (black)']
['Ace of Diamond (red)', '10 of Clover (black)', '2 of Spade (black)', 'Ace of Spade (black)', 'Jack of Diamond (red)', 'Queen of Spade (black)', 'Queen of Diamond (red)']
['4 of Diamond (red)', '10 of Heart (red)', '6 of Spade (black)', '2 of Clover (black)', '3 of Clover (black)', 'Jack of Spade (black)', '10 of Spade (black)']
['Jack of Diamond (red)', '9 of Spade (black)', '8 of Spade (black)', 'King of Spade (black)', 'Jack of Heart (red)', 'King of Clover (black)', '9 of Clover (black)']
['6 of Clover (black)', '10 of Spade (black)', '3 of Clover (black)', '10 of Clover (black)', '8 of Diamond (red)', 'Ace of Diamond (red)', '6 of Spade (black)']
['Jack of Clover (black)', '4 of Diamond (red)', '8 of Heart (red)', 'Ace of Diamond (red)', '9 of Spade (black)', '7 of Diamond (red)', '10 of Diamond (red)']
['King of Diamond (red)', '5 of Diamond (red)', 'Jack of Diamond (red)', '5 of Clover (black)', '2 of Diamond (red)', '8 of Clover (black)', 'King of Heart (red)']
['7 of Diamond (red)', '6 of Spade (black)', '8 of Heart (red)', '4 of Clover (black)', '7 of Spade (black)', '7 of Heart (red)', 'Ace of Clover (black)']
['3 of Spade (black)', '5 of Diamond (red)', 'King of Clover (black)', '3 of Clover (black)', '4 of Diamond (red)', '3 of Diamond (red)', '4 of Spade (black)']
['8 of Spade (black)', '6 of Diamond (red)', '6 of Spade (black)', '10 of Spade (black)', '4 of Spade (black)', '8 of Diamond (red)', '7 of Spade (black)']
['8 of Clover (black)', '9 of Heart (red)', '7 of Spade (black)', 'Queen of Diamond (red)', '10 of Spade (black)', '8 of Spade (black)', '9 of Clover (black)']
['4 of Diamond (red)', '7 of Spade (black)', '3 of Diamond (red)', '5 of Diamond (red)', '2 of Heart (red)', '6 of Spade (black)', 'Ace of Diamond (red)']
['Ace of Heart (red)', '10 of Heart (red)', '3 of Heart (red)', 'Queen of Diamond (red)', '10 of Diamond (red)', '9 of Spade (black)', 'Ace of Spade (black)']
['2 of Spade (black)', '5 of Clover (black)', 'Queen of Spade (black)', '9 of Spade (black)', '2 of Diamond (red)', '2 of Clover (black)', '6 of Clover (black)']
['Queen of Clover (black)', '9 of Diamond (red)', 'Jack of Clover (black)', '10 of Spade (black)', '4 of Clover (black)', 'King of Heart (red)', '3 of Clover (black)']
['10 of Heart (red)', 'Ace of Heart (red)', '3 of Heart (red)', 'King of Clover (black)', 'Jack of Spade (black)', '2 of Clover (black)', '10 of Clover (black)']
['7 of Diamond (red)', 'King of Clover (black)', '6 of Spade (black)', '4 of Clover (black)', '7 of Spade (black)', '6 of Diamond (red)', '7 of Heart (red)']
['6 of Heart (red)', '8 of Heart (red)', '3 of Heart (red)', '8 of Diamond (red)', '9 of Diamond (red)', '9 of Heart (red)', 'Queen of Heart (red)']
